Type	Sex	Grp	SL
ocean	f	ocean_f	70
ocean	f	ocean_f	62
ocean	f	ocean_f	65
ocean	f	ocean_f	69
ocean	f	ocean_f	68
ocean	f	ocean_f	70
ocean	f	ocean_f	66
ocean	f	ocean_f	64
ocean	f	ocean_f	65
ocean	f	ocean_f	71
ocean	f	ocean_f	71
ocean	f	ocean_f	63
ocean	f	ocean_f	69
ocean	f	ocean_f	70
ocean	f	ocean_f	69
ocean	f	ocean_f	69
ocean	f	ocean_f	69
ocean	f	ocean_f	71
ocean	f	ocean_f	63
ocean	f	ocean_f	66
ocean	f	ocean_f	75
ocean	f	ocean_f	60
ocean	f	ocean_f	69
ocean	f	ocean_f	71
ocean	f	ocean_f	69
ocean	f	ocean_f	70
ocean	f	ocean_f	67
ocean	f	ocean_f	64
ocean	f	ocean_f	62
ocean	f	ocean_f	68
ocean	f	ocean_f	60
ocean	f	ocean_f	68
ocean	f	ocean_f	69
ocean	f	ocean_f	70
ocean	f	ocean_f	72
ocean	f	ocean_f	65
ocean	f	ocean_f	70
ocean	f	ocean_f	65
ocean	f	ocean_f	48
ocean	f	ocean_f	74
ocean	f	ocean_f	71
ocean	f	ocean_f	73
ocean	f	ocean_f	78
ocean	f	ocean_f	72
ocean	f	ocean_f	61
ocean	m	ocean_m	62
ocean	m	ocean_m	69
ocean	m	ocean_m	62
ocean	m	ocean_m	65
ocean	m	ocean_m	63
ocean	m	ocean_m	66
ocean	m	ocean_m	66
ocean	m	ocean_m	69
ocean	m	ocean_m	67
ocean	m	ocean_m	64
ocean	m	ocean_m	72
ocean	m	ocean_m	68
ocean	m	ocean_m	65
ocean	m	ocean_m	61
ocean	m	ocean_m	65
ocean	m	ocean_m	65
ocean	m	ocean_m	61
ocean	m	ocean_m	66
ocean	m	ocean_m	66
ocean	m	ocean_m	66
ocean	m	ocean_m	65
ocean	m	ocean_m	64
ocean	m	ocean_m	69
ocean	m	ocean_m	65
ocean	m	ocean_m	61
ocean	m	ocean_m	68
ocean	m	ocean_m	62
ocean	m	ocean_m	68
ocean	m	ocean_m	65
ocean	m	ocean_m	63
ocean	m	ocean_m	57
ocean	m	ocean_m	70
ocean	m	ocean_m	69
ocean	m	ocean_m	60
ocean	m	ocean_m	61
ocean	m	ocean_m	64
ocean	m	ocean_m	71
ocean	m	ocean_m	59
ocean	m	ocean_m	71
ocean	m	ocean_m	71
ocean	m	ocean_m	65
ocean	m	ocean_m	66
ocean	m	ocean_m	60
ocean	m	ocean_m	65
ocean	m	ocean_m	65
stream	f	stream_f	52
stream	f	stream_f	48
stream	f	stream_f	40
stream	f	stream_f	38
stream	f	stream_f	47
stream	f	stream_f	34
stream	f	stream_f	43
stream	f	stream_f	43
stream	f	stream_f	41
stream	f	stream_f	44
stream	f	stream_f	44
stream	f	stream_f	36
stream	f	stream_f	41
stream	f	stream_f	37
stream	f	stream_f	44
stream	f	stream_f	40
stream	f	stream_f	42
stream	f	stream_f	45
stream	f	stream_f	47
stream	f	stream_f	38
stream	f	stream_f	45
stream	f	stream_f	42
stream	f	stream_f	36
stream	f	stream_f	40
stream	f	stream_f	41
stream	f	stream_f	38
stream	f	stream_f	41
stream	f	stream_f	41
stream	f	stream_f	41
stream	f	stream_f	42
stream	f	stream_f	43
stream	f	stream_f	40
stream	f	stream_f	46
stream	f	stream_f	46
stream	f	stream_f	44
stream	f	stream_f	38
stream	f	stream_f	42
stream	f	stream_f	38
stream	f	stream_f	40
stream	f	stream_f	41
stream	f	stream_f	36
stream	f	stream_f	38
stream	f	stream_f	47
stream	f	stream_f	46
stream	f	stream_f	44
stream	m	stream_m	50
stream	m	stream_m	40
stream	m	stream_m	42
stream	m	stream_m	40
stream	m	stream_m	45
stream	m	stream_m	39
stream	m	stream_m	37
stream	m	stream_m	42
stream	m	stream_m	38
stream	m	stream_m	41
stream	m	stream_m	39
stream	m	stream_m	39
stream	m	stream_m	38
stream	m	stream_m	40
stream	m	stream_m	38
stream	m	stream_m	44
stream	m	stream_m	38
stream	m	stream_m	34
stream	m	stream_m	36
stream	m	stream_m	39
stream	m	stream_m	44
stream	m	stream_m	37
stream	m	stream_m	40
stream	m	stream_m	43
stream	m	stream_m	35
stream	m	stream_m	39
stream	m	stream_m	42
stream	m	stream_m	35
stream	m	stream_m	38
stream	m	stream_m	39
stream	m	stream_m	40
stream	m	stream_m	38
stream	m	stream_m	39
stream	m	stream_m	37
stream	m	stream_m	35
stream	m	stream_m	49
stream	m	stream_m	51
stream	m	stream_m	42
stream	m	stream_m	42
stream	m	stream_m	46
stream	m	stream_m	40
stream	m	stream_m	42
stream	m	stream_m	44
stream	m	stream_m	42
stream	m	stream_m	36
