Pop	Type	Sex	Spec	SL
BH	Lake	M	1	55.14
BH	Lake	M	2	47.05
BH	Lake	M	3	51.875
BH	Lake	M	4	52.99
BH	Lake	M	5	49.58
BH	Lake	M	6	51.545
BH	Lake	M	7	43.35
BH	Lake	M	8	52.805
BH	Lake	M	9	45.935
BH	Lake	M	10	51.235
BH	Lake	M	11	46.26
BH	Lake	M	12	43.66
BH	Lake	M	13	50.52
BH	Lake	M	14	62.105
BH	Lake	M	15	51.07
BH	Lake	M	16	57.39
BH	Lake	M	17	52.8
BH	Lake	M	18	52.155
BH	Lake	M	19	53.255
BH	Lake	M	20	45.885
BH	Lake	M	21	50.035
BH	Lake	M	22	46.3
BH	Lake	M	23	48.005
BH	Lake	M	24	46.335
BH	Lake	M	25	45.95
BH	Lake	M	26	57.78
BH	Lake	M	27	51.19
BH	Lake	M	28	59.995
BH	Lake	M	29	49.56
BH	Lake	M	30	53.88
BH	Lake	M	31	54.165
BH	Lake	M	32	47.485
BH	Lake	M	33	52.71
BH	Lake	M	34	52.36
BH	Lake	M	35	51.435
BH	Lake	M	36	43.48
BH	Lake	M	37	45.15
BH	Lake	M	38	48.31
BH	Lake	M	39	44.615
BH	Lake	M	40	46.155
BH	Lake	M	41	58.33
BH	Lake	M	42	53.845
BH	Lake	M	43	53
BH	Lake	M	44	49.145
BH	Lake	M	45	55.01
BH	Lake	M	46	59.345
BH	Lake	M	47	53.79
BH	Lake	M	48	49.45
BH	Lake	M	49	46.64
BH	Lake	M	50	49.38
BH	Lake	F	1	47.415
BH	Lake	F	2	49.525
BH	Lake	F	3	47.375
BH	Lake	F	4	45.655
BH	Lake	F	5	46.905
BH	Lake	F	6	46.805
BH	Lake	F	7	41.885
BH	Lake	F	8	45.14
BH	Lake	F	9	39.03
BH	Lake	F	10	42.155
BH	Lake	F	11	49.955
BH	Lake	F	12	45.58
BH	Lake	F	13	63.245
BH	Lake	F	14	45.345
BH	Lake	F	15	47.9
BH	Lake	F	16	44.44
BH	Lake	F	17	45.64
BH	Lake	F	18	47.04
BH	Lake	F	19	47.815
BH	Lake	F	20	43.335
BH	Lake	F	21	41.665
BH	Lake	F	22	43.675
BH	Lake	F	23	49.93
BH	Lake	F	24	44.965
BH	Lake	F	25	48.335
BH	Lake	F	26	47.135
BH	Lake	F	27	46.325
BH	Lake	F	28	45.215
BH	Lake	F	29	46.71
BH	Lake	F	30	43.665
BH	Lake	F	31	59.465
BH	Lake	F	32	40.15
BH	Lake	F	33	43.755
BH	Lake	F	34	42.695
BH	Lake	F	35	41.83
BH	Lake	F	36	41.88
BH	Lake	F	37	48.265
BH	Lake	F	38	52.265
BH	Lake	F	39	50.49
BH	Lake	F	40	49.45
BH	Lake	F	41	58.095
BH	Lake	F	42	53.745
BH	Lake	F	43	44.505
BH	Lake	F	44	46.015
BH	Lake	F	45	45.415
BH	Lake	F	46	44.46
BH	Lake	F	47	44.205
BH	Lake	F	48	44.175
BH	Lake	F	49	41.255
BH	Lake	F	50	44.655
Mud	Lake	M	1	47.64
Mud	Lake	M	2	48.3
Mud	Lake	M	3	48.025
Mud	Lake	M	4	49.35
Mud	Lake	M	5	45.51
Mud	Lake	M	6	52.335
Mud	Lake	M	7	42.81
Mud	Lake	M	8	49.775
Mud	Lake	M	9	45.93
Mud	Lake	M	10	42.56
Mud	Lake	M	11	44.035
Mud	Lake	M	12	45.09
Mud	Lake	M	13	45.795
Mud	Lake	M	14	49.89
Mud	Lake	M	15	46.315
Mud	Lake	M	16	45.49
Mud	Lake	M	17	45.935
Mud	Lake	M	18	45.7
Mud	Lake	M	19	46.225
Mud	Lake	M	20	48.605
Mud	Lake	M	21	43.5
Mud	Lake	M	22	47.89
Mud	Lake	M	23	50.24
Mud	Lake	M	24	48.485
Mud	Lake	M	25	48.115
Mud	Lake	M	26	43.19
Mud	Lake	M	27	44.26
Mud	Lake	M	28	47.985
Mud	Lake	M	29	38.71
Mud	Lake	M	30	45.53
Mud	Lake	M	31	43.28
Mud	Lake	M	32	46.355
Mud	Lake	M	33	47.24
Mud	Lake	M	34	47.76
Mud	Lake	M	35	37.685
Mud	Lake	M	36	47.15
Mud	Lake	M	37	41.54
Mud	Lake	M	38	44.78
Mud	Lake	M	39	46.21
Mud	Lake	M	40	44.765
Mud	Lake	M	41	39.84
Mud	Lake	M	42	46.37
Mud	Lake	M	43	43.585
Mud	Lake	M	44	43.13
Mud	Lake	M	45	42.965
Mud	Lake	M	46	46.58
Mud	Lake	M	47	45.265
Mud	Lake	M	48	49.505
Mud	Lake	M	49	43.425
Mud	Lake	M	50	46.285
Mud	Lake	M	51	46.805
Mud	Lake	M	52	45.715
Mud	Lake	M	53	44.94
Mud	Lake	M	54	41.49
Mud	Lake	M	55	46.355
Mud	Lake	M	56	47.12
Mud	Lake	M	57	44.105
Mud	Lake	M	58	44.625
Mud	Lake	M	59	43.735
Mud	Lake	M	60	43.125
Mud	Lake	M	61	42.335
Mud	Lake	M	62	45.73
Mud	Lake	M	63	41.815
Mud	Lake	M	64	45.245
Mud	Lake	M	65	45.815
Mud	Lake	M	66	46.275
Mud	Lake	M	67	40.95
Mud	Lake	M	68	44.45
Mud	Lake	M	69	43.295
Mud	Lake	M	70	42.3
Mud	Lake	M	71	44.56
Mud	Lake	M	72	40.36
Mud	Lake	M	73	44.24
Mud	Lake	M	74	45.55
Mud	Lake	M	75	46.065
Mud	Lake	F	1	57.25
Mud	Lake	F	2	40.43
Mud	Lake	F	3	46.185
Mud	Lake	F	4	43.99
Mud	Lake	F	5	48.36
Mud	Lake	F	6	44.775
Mud	Lake	F	7	49.265
Mud	Lake	F	8	46.68
Mud	Lake	F	9	45.435
Mud	Lake	F	10	46.185
Mud	Lake	F	11	48.24
Mud	Lake	F	12	45.62
Mud	Lake	F	13	46.315
Mud	Lake	F	14	47.6
Mud	Lake	F	15	45.535
Mud	Lake	F	16	49.675
Mud	Lake	F	17	47.69
Mud	Lake	F	18	45.28
Mud	Lake	F	19	38.33
Mud	Lake	F	20	43.92
Mud	Lake	F	21	48.82
Mud	Lake	F	22	48.5
Mud	Lake	F	23	48.37
Mud	Lake	F	24	45.775
Mud	Lake	F	25	36.13
Mud	Lake	F	26	50.09
Mud	Lake	F	27	45.385
Mud	Lake	F	28	52.305
Mud	Lake	F	29	40.06
Mud	Lake	F	30	44.02
Mud	Lake	F	31	44.41
Mud	Lake	F	32	55.49
Mud	Lake	F	33	52.335
Mud	Lake	F	34	43.825
Mud	Lake	F	35	41.87
Mud	Lake	F	36	43.87
Mud	Lake	F	37	42.93
Mud	Lake	F	38	47.255
Mud	Lake	F	39	44.4
